Name	Calb_LAG	Calb_LL	Calb_DS	Calb_PS	Calb_PLAT	Calb_HS5	Calb_HS15	Calb_HS30	Calb_HS45	Calb_HS60	Calb_Salt.5	Calb_Salt.15	Calb_Salt.30	Calb_Salt.60	Calb_Ox5	Calb_Ox15	Calb_Ox30	Calb_Ox60	Calb_0.2MKCl.10	Calb_0.2MKCl.20	Calb_0.2MKCl.40	Calb_0.2MKCl.80	Calb_0.4MKCl.10	Calb_0.4MKCl.20	Calb_0.4MKCl.40	Calb_0.4MKCl.80	Calb_0.8MKCl.10	Calb_0.8MKCl.20	Calb_0.8MKCl.40	Calb_0.8MKCl.80
CaalfMp01	0.693955	-0.872301	-0.836138	-1.12989	-0.691244	-1.3328	-1.32579	-1.23175	-1.10931	-1.40153	0.434072	-0.220895	-0.410314	-0.0282556	-0.0759865	-0.538435	-0.747866	-1.13058	-0.89399	-1.63669	-0.30688	-0.239511	-2.12471	-3.17896	-3.82528	-1.66128	-0.755679	-0.974092	-2.47771	-2.21534
CaalfMp02	0.889305	0.258505	0.898899	0.259679	0.524012	-0.396116	-0.609217	-0.0704263	0.171036	-0.426702	0.118497	0.225027	-0.178289	-0.479425	0.487986	0.62034	0.654704	0.189068	-1.22375	-1.10048	-0.189066	0.00373309	-1.26742	-3.10275	-3.73962	-1.19561	-0.0408244	-0.635247	-2.19622	-1.62373
CaalfMp03	1.82314	-1.33947	-0.848422	-1.34658	-2.04305	-1.71831	-2.70667	-1.68854	-1.4948	-1.37971	0.269956	-0.187229	-0.37671	-0.339874	0.560696	0.110777	0.217201	-0.374567	-1.62095	-1.91821	-0.148628	0.0903299	-1.07571	-4.85554	-3.82679	-0.00201869	-0.274064	-0.0638939	-0.796796	-0.618792
CaalfMp05	1.81015	-0.0790487	1.58246	-0.0833125	-0.241261	-1.0449	-2.03256	-0.433093	-0.601838	-0.954063	0.506309	0.444992	0.235365	-0.165593	0.665932	0.0699633	1.44928	0.207179	-1.81377	-2.94931	-0.185087	-0.52758	-0.905598	-5.78179	-6.5419	-1.04804	0.782771	0.446595	-0.124018	-0.397845
CaalfMp06	1.60653	-0.421602	1.52193	-0.238054	-0.306467	-0.996727	-2.24152	-1.02617	-1.23147	-1.49352	0.555514	0.363103	0.135321	0.15137	0.356144	0.262587	0.686951	0.265338	-1.58916	-2.64825	-0.234315	-0.489939	-1.71405	-5.0524	-6.31403	-1.90279	0.152501	-0.345381	-1.734	-1.57749
CaalfMp07	1.24447	0.829735	1.73571	0.902704	1.56993	-0.347154	-0.834576	-0.527284	-0.831651	-0.602406	0.221388	0.540578	-0.0584162	-0.964354	0.542037	0.956739	0.92342	1.02478	-0.920299	-1.50623	-0.497884	-0.568736	-1.88969	-3.54928	-4.11342	-2.23104	-0.00751283	-0.679045	-1.62875	-1.90597
CaalfMp13	1.24583	-0.327666	0.192449	-0.296286	-0.432236	-1.57657	-2.30851	-1.68571	-1.98645	-2.27838	0.307418	0.00281083	-2.08e-05	0.410129	0.450887	0.419467	0.600269	0.417864	-2.70001	-3.02797	-0.207539	-0.433795	-1.2179	-3.88947	-4.47038	-0.79878	-0.276036	-0.909419	-1.85833	-1.26177
CaalfMp14	1.41568	-1.66721	-0.887352	-1.7712	-2.37291	-0.862327	-2.01168	-0.956458	-1.41958	-1.50966	0.36026	0.22495	-0.00983087	0.23174	0.395011	0.294171	0.443761	0.386079	-1.67311	-2.76384	-0.343563	-0.569167	-1.33644	-4.82705	-6.16843	-1.47609	-0.493144	-0.996036	-2.23744	-2.18524
CaalfMp15	0.331929	1.00299	0.876009	0.722318	1.97157	-0.0534453	-0.3611	0.122992	-0.270225	-0.81047	0.0632843	0.373059	-0.0124439	-0.690196	0.187721	0.340842	0.856764	1.45328	-0.184041	-0.337388	-0.385517	-0.148465	-0.593336	-2.36067	-3.6276	-1.22828	0.287586	0.0837748	-0.173219	-0.31411
orf19.10	0.0199911	1.15927	1.31213	2.26342	2.18834	-0.307223	-0.458038	-0.910363	-0.00873343	-1.05067	1.59682	3.43233	1.59891	-0.916725	0.547864	0.210629	0.42512	0.817239	1.19626	1.64522	1.01175	0.902326	3.35516	3.23802	-1.00552	-0.265392	0.128697	3.81062	4.78874	-0.0661388
