Name	Calb_LAG	Calb_LL	Calb_DS	Calb_PS	Calb_PLAT	Calb_HS5	Calb_HS15	Calb_HS30	Calb_HS45	Calb_HS60	Calb_Salt.5	Calb_Salt.15	Calb_Salt.30	Calb_Salt.60	Calb_Ox5	Calb_Ox15	Calb_Ox30	Calb_Ox60	Calb_0.2MKCl.10	Calb_0.2MKCl.20	Calb_0.2MKCl.40	Calb_0.2MKCl.80	Calb_0.4MKCl.10	Calb_0.4MKCl.20	Calb_0.4MKCl.40	Calb_0.4MKCl.80	Calb_0.8MKCl.10	Calb_0.8MKCl.20	Calb_0.8MKCl.40	Calb_0.8MKCl.80
orf19.100	-0.135599	0.290031	1.45015	2.48123	1.35479	-0.185591	0.00453864	0.135609	0.112174	0.287387	0.33528	-0.609288	-1.45211	-1.47227	0.396371	0.644257	0.13342	-0.558695	0.0769435	-0.371868	-0.103236	0.105621	0.898213	-0.306222	-0.605932	-0.138664	-0.267873	0.219285	-0.879758	-1.01041
orf19.1005	-0.27288	-0.409492	-0.495588	-0.22392	-0.509238	-0.3295	-1.25039	-1.03396	-1.14754	-0.515905	-0.260262	-0.458037	0.170549	0.31706	-0.0268358	0.0759897	0.512097	0.694092	-0.931761	0.000306353	-0.174596	-1.03635	-0.371484	-0.0554447	-0.575378	0.423816	0.0313082	-1.24649	-1.55971	-0.875434
orf19.1007	1.04084	-0.233492	-0.0996737	-0.565729	-0.717669	-0.201892	-0.139516	0.0799592	0.0594264	0.225466	-0.1926	-0.815193	-0.217954	0.0157112	-0.0609184	-0.297904	-1.07008	-1.045	-0.730645	-0.162498	0.0122133	-0.219484	-0.963659	-0.729434	0.0417249	-0.0912748	0.303516	-0.0142068	-0.737598	-0.126623
orf19.101	0.552113	0.0957287	0.594434	0.95381	0.167499	-0.148845	-0.22442	-0.207902	-0.175446	0.168946	-0.315835	-0.519277	-0.92679	-0.72461	-0.0230379	-0.0282673	0.101524	-0.402342	-0.559962	-0.453348	-0.267238	-0.402698	-0.35074	-0.52366	-0.296122	-0.486449	-0.744054	0.139609	-0.171226	-0.380383
orf19.1010	0.833419	0.0994295	-1.01165	-1.04303	-0.47685	-0.0245574	0.292878	-0.0328652	-0.237967	-0.395506	0.324366	0.408465	-0.158274	0.102855	0.267104	0.0611738	-0.229443	-0.437744	0.364877	0.167505	0.11216	0.0389701	0.404694	0.427882	0.365046	-0.00215211	0.108545	0.444514	0.212984	0.0783627
orf19.1011	-0.134549	0.601041	0.756365	0.48867	0.435083	-0.0705346	0.436697	0.393577	0.395656	0.127464	0.652315	0.127351	-0.535021	-0.810812	0.328726	-0.264983	-0.0477848	-0.281238	0.0607056	-0.335497	-0.513484	-0.0888301	0.43477	-0.65531	-0.752766	-0.478631	0.462628	1.14902	-0.0575646	-0.0429922
orf19.1012	-0.840591	-0.284594	-0.987853	-0.943831	-2.16398	0.114383	0.494424	0.285029	0.0589516	-0.0537676	0.44069	-0.0462963	-0.586318	-0.440503	0.21258	0.0433847	-0.399458	-0.514374	0.30407	-0.386946	-0.23155	-0.24753	0.463014	-0.540021	-0.776163	-0.319498	0.583945	0.857184	-0.0414185	-0.216068
orf19.102	0.284144	-0.994154	-0.976156	-1.96864	-0.908986	-0.452555	-0.707061	-0.423905	-0.377082	-0.347813	-0.567284	-0.308507	0.0527492	0.0166609	-0.347909	-0.296638	-0.798824	-0.479092	-0.302155	-0.290693	-0.143745	-0.0704349	-0.494794	-0.131656	-0.0590644	0.155551	-0.0699903	-0.622499	-0.0223704	0.045754
orf19.1026	0.990619	-0.866614	-1.57407	-1.44927	-0.723445	-1.44562	-1.50885	-1.20786	-1.18414	-0.80971	-0.206841	-0.21316	0.0883146	0.698468	-0.364594	0.222128	-0.234777	-0.739647	-0.241757	0.0633321	0.303516	-0.0856267	-0.213502	-0.420351	0.306471	0.194455	0.329861	0.424561	-0.348415	0.0597094
orf19.1027	-1.65306	2.10056	2.01189	2.53831	1.58791	1.96798	2.55534	1.55723	1.79675	0.914958	0.284372	0.348964	-0.862649	-0.951042	0.858111	1.94943	2.44161	0.171559	1.48377	0.702148	0.0069938	0.292164	1.1887	1.08396	-0.593833	-0.158167	0.309807	1.51705	1.54128	0.799321
orf19.1028	0.936615	-0.602405	-0.592232	-0.558779	-0.787355	0.0272375	-0.0150826	-0.0951925	-0.334739	-0.290325	1.18192	1.63891	0.381886	0.597992	0.0145992	0.414827	1.15133	1.49832	0.781885	-0.264651	0.170957	0.00821747	0.954689	0.20266	-0.22156	-0.00848521	-0.0665805	1.6601	0.389764	-0.00671674
orf19.1029	0.777293	-0.615344	-1.71157	-0.557335	-0.0222052	-1.33628	-1.59051	-1.26047	-1.16137	-0.518745	-0.484706	-0.702289	0.0189082	0.917461	-0.761127	0.224742	-0.302885	-0.629578	-0.736147	0.122538	0.613024	-0.311718	-1.33368	-0.770959	0.736147	0.245172	0.00444544	-1.04475	-1.23461	0.332842
orf19.103	-0.505569	-0.372247	-0.0656309	-0.577006	-0.460734	-0.23051	-0.592573	-0.533462	-0.739313	-0.472446	-0.201942	-0.421854	-0.458984	-0.228363	-0.453549	-0.321775	0.821032	0.318602	-0.629834	-0.663003	-0.376888	-0.142541	-0.135869	-1.08406	-1.24313	0.914735	-1.52451	-0.360879	-0.793675	-0.349696
orf19.1030	0.429389	-2.73555	-3.9253	-5.33329	-3.0545	-0.50885	-4.022	-2.57143	-1.79807	-0.81696	-0.577506	-1.94697	-1.09367	1.2954	-0.504433	-0.81922	-2.66532	-1.29942	-0.501028	-0.44441	0.600303	0.182716	-0.25566	-1.82513	0.854621	0.951814	0.30999	-0.0558308	-2.41927	0.493917
orf19.1031	-0.642537	-0.736668	-1.11469	-1.75228	-1.03481	-0.215156	-0.458209	-0.398282	-0.533595	-0.457437	-0.624916	-0.920129	-0.0728908	0.197898	-0.279538	-0.93991	-1.48066	-0.835184	-0.658896	-0.522015	-0.304567	-0.0639237	-0.736825	-1.0584	-0.170433	0.0490989	-0.295674	-0.770703	-1.44606	-0.33164
orf19.1032	1.27425	-0.186035	-0.227698	0.0048782	-0.278203	0.784647	-0.0925628	-0.433332	-0.252283	-0.0502382	3.71138	2.90261	0.832303	0.493671	0.672975	1.01492	0.913484	0.308815	2.67815	-0.717268	0.0621258	0.167657	3.10599	1.27318	-0.027496	0.107318	0.639981	3.30285	0.987956	-0.445371
orf19.1033	0.566066	0.0483718	-0.491014	0.146485	-0.307951	-0.0635783	0.529104	0.305413	0.0151354	-0.0565023	1.25804	0.906448	-0.542153	-0.619923	0.329156	0.00498708	0.639555	-0.0707995	1.64269	-0.390136	0.0746813	0.173694	2.06858	0.835213	0.00621231	0.197549	0.289928	1.71762	0.601414	-0.302215
orf19.1034	-0.448108	2.32991	0.908218	1.53948	0.52996	0.830102	1.9947	1.41657	1.50189	0.75397	0.820049	0.103007	-0.764584	-2.49267	1.05064	1.11006	1.23428	-0.0969313	0.389971	-1.04209	-1.76166	-0.553952	0.0693301	-0.8412	-2.16339	-1.82259	-0.250207	0.0742991	-0.187498	-1.61501
orf19.1035	0.516283	-0.718324	0.370588	0.678778	0.25667	-0.0355788	-0.60928	-0.622336	-0.672334	-0.427529	-0.493358	-0.00592593	-0.19622	-0.153424	-0.233063	-0.459138	-1.01152	-1.13253	0.00688202	0.0231465	0.572695	-0.258827	0.425786	0.151479	0.200392	0.29258	-0.332159	0.178494	-0.175829	0.418757
orf19.1036	-1.05289	-0.140612	0.095567	0.0770298	0.0356192	0.00437256	0.245966	0.301068	0.217534	0.0258302	0.331271	0.504167	0.17373	0.000106511	0.130616	-0.315834	-0.765891	-0.316421	0.308359	0.252855	0.0440664	-0.0226115	0.410987	0.404922	-0.0864054	-0.155501	0.0513777	0.325779	0.58641	0.51259
orf19.1037	-1.10607	0.773322	1.25321	1.04218	1.03786	0.442526	0.495437	0.698295	0.903267	0.462775	0.908943	0.724849	0.107338	-0.696406	0.640659	0.739359	1.25641	1.27466	0.637707	0.120772	-0.153169	0.029311	0.305444	0.0539461	-0.61995	-0.674119	0.237712	0.245995	-0.585896	-0.127159
orf19.1039	-1.21805	-0.30347	-0.842779	-1.03252	-0.409834	0.0204099	-0.0691008	0.0102233	-0.152476	-0.0799086	0.256379	0.263868	0.0353567	0.120392	-0.151945	-0.0352439	-0.343395	-0.0659642	0.062589	-0.000317291	0.0019091	0.0440868	0.527991	0.085193	0.330974	0.125719	0.242371	0.60533	0.13008	-0.185052
orf19.1040	0.172303	0.557295	-0.325187	0.498926	0.862149	0.364285	0.502307	0.223486	0.221841	0.102829	0.164589	-0.258008	-0.522706	-0.316031	0.0484066	-0.257327	-0.207113	-0.344084	-0.149852	-0.273073	-0.152421	-0.110178	0.0981939	-0.196924	0.166651	-0.0914554	-0.098905	-0.0773644	-0.603219	-0.551947
orf19.1041	0.73098	-0.250579	-0.736218	-0.721588	-0.78821	0.25976	-0.0230484	-0.11402	-0.28274	0.0284542	-0.0445861	0.100519	0.0063576	0.224942	-0.104204	0.22502	-0.0512393	0.178224	-0.133423	-0.308155	-0.0310435	-0.17117	-0.302241	-0.459763	-0.253838	-0.186097	0.051076	-0.28448	-0.469437	-0.345826
orf19.1042	-2.52776	0.529235	0.776282	0.654175	1.42119	-0.0107788	0.43557	0.227886	0.257581	0.178687	0.19487	0.331872	0.0223481	-0.528158	-0.092066	-0.0208602	0.282599	0.104147	0.0817338	0.134739	0.12234	0.0753293	-0.10493	0.131926	-0.0294428	-0.22271	-0.0601687	0.0490836	-0.217067	-0.225966
orf19.1043	0.393766	0.25998	-0.55982	0.210459	0.58304	-0.671347	-0.706235	-0.695108	-0.873146	-0.851433	-0.165864	-0.204664	-0.0136655	-0.170578	0.612971	0.658963	0.0696991	-0.674487	-0.722734	-0.37389	0.0341586	-0.320331	-1.17372	-1.07547	-0.624968	-0.390176	-0.411661	-0.972044	-0.154147	0.256128
orf19.1045	-0.329157	-0.649149	-1.55269	-1.20489	-1.08242	0.0494604	-0.603506	-0.632157	-0.38939	-0.067246	-0.521036	-1.04791	-1.20945	0.242431	-0.365171	-0.370411	-1.06572	-1.04119	-0.553316	-0.221429	0.52416	-0.242505	-0.228175	-0.893038	0.281966	0.0732481	0.138821	-0.0603452	-1.26348	0.0514165
orf19.1047	0.622446	-1.72581	-2.4646	-3.47748	-1.56011	-0.597705	-2.71997	-1.72551	-1.27299	-0.527654	-1.27694	-1.98319	-0.721865	1.16752	-0.615565	-1.10897	-2.34333	-1.45676	-0.736577	-0.380117	0.667791	0.0554031	-0.629206	-1.90996	0.571122	0.338869	0.160266	-0.42999	-2.59896	0.122796
orf19.1048	-0.957006	2.88263	3.84149	3.80043	5.0749	0.00897827	0.304073	-0.0107946	-0.399112	-1.06532	2.1086	2.38815	1.62581	0.000747829	2.51851	3.41763	3.8134	0.72857	0.157426	0.200175	-0.969718	0.406998	0.14809	0.433544	-0.580183	-0.983499	0.581538	1.66012	1.41689	0.488732
orf19.1049	1.28573	0.313532	-0.302349	-0.0976545	-0.630334	0.61242	0.812684	0.676017	0.193723	0.236573	0.18158	-0.820812	-0.553415	-0.193784	0.456015	0.358525	-0.597008	-0.773528	-0.607061	-0.26003	0.0820258	0.122889	0.100808	-1.32553	-0.0586843	-0.416865	0.459694	0.611537	-0.317344	0.0923121
orf19.105	-0.16716	0.492839	0.702785	0.400991	0.689547	0.0282455	0.124748	0.592712	0.249918	-0.0255919	0.469347	0.941513	0.967586	-0.355501	0.64474	0.749449	0.356025	0.404441	0.729803	1.10686	-0.184055	0.0559875	0.559256	1.74392	0.195822	-0.15833	0.00768242	0.0988582	1.67661	0.0582938
orf19.1050	0.470168	0.190425	0.406877	0.824663	0.0711382	0.215207	0.270552	0.18342	0.307581	0.561477	-0.275293	-0.679744	-1.08932	-0.652111	0.219591	-0.0279736	-1.1374	-0.702751	-0.805504	-0.516415	0.0280914	-0.0818572	-0.0456068	-0.867823	-0.905889	-0.0711177	0.0122205	0.155258	-0.204042	-0.52308
orf19.1051	-2.40258	0.893359	0.706037	0.333618	-3.64814	-0.20156	-1.03648	-1.54534	-0.989763	-0.238221	-1.02655	-1.32651	-1.68436	-0.281421	-0.562456	-2.47231	-4.31513	-3.2626	-0.210092	-0.0167309	0.830353	0.45675	-0.633746	-1.53861	-0.119704	-0.860356	-0.462835	-1.02622	-1.55851	-0.567112
orf19.1052	-3.01306	0.949855	0.63268	0.397269	-3.13184	0.132371	-0.257768	-0.907321	-0.450424	0.493827	-0.662356	-1.00985	-1.49287	-0.150977	-0.171233	-1.69009	-3.39465	-2.52511	-0.232609	-0.371636	0.430481	0.134978	-0.279585	-1.44375	-0.16528	-0.669571	-0.185804	-0.393899	-0.834036	-0.148877
orf19.1053	0.662358	-0.137846	-0.885052	-0.685108	-0.660712	1.14717	0.646626	0.443389	0.356722	0.149347	-0.123585	-0.20134	-0.0067179	-0.101476	0.0258032	-0.161039	0.101811	-0.00317884	-0.20806	-0.139353	-0.0715347	-0.0364835	-0.629053	-0.3925	-0.53544	-0.288725	-0.158959	-0.573889	-0.251748	-0.317503
orf19.1054	-2.2007	0.970391	0.839961	0.768775	1.21441	0.491884	0.941211	0.889003	0.810983	0.788383	0.172316	0.563882	0.246411	-0.057752	0.0512204	-0.729366	-0.592573	0.136258	0.422816	0.359383	0.290273	0.172614	-0.0801539	-0.0482111	-0.623886	-0.611364	0.108183	0.182343	0.0245478	-0.191843
orf19.1055	-0.629435	0.192984	-0.000212739	-0.452121	-0.739313	0.557815	0.897352	0.820047	0.710675	0.551635	-0.126449	-0.604438	-0.130008	-0.0128686	-0.184596	-0.44712	-1.09452	-0.160163	-0.491679	-0.388948	-0.216508	-0.107219	-0.679218	-0.660635	0.1246	-0.664038	-0.132826	-0.124253	-0.170093	-0.102792
orf19.1057	-0.469881	0.421216	0.522549	0.567097	0.829668	0.28378	0.453083	0.286783	0.340475	0.150264	0.42863	0.0289862	-0.352347	-0.424637	0.30136	0.223326	-0.0511287	-0.231915	0.0695367	-0.153985	-0.158704	0.0675877	0.40109	-0.00383695	-0.165491	-0.265867	0.48988	0.702841	0.12351	-0.224702
orf19.1058	-0.779863	0.205861	0.583092	0.504524	-0.171841	-0.209105	0.220743	-0.298457	-0.118711	-0.301546	0.433421	0.924965	0.444449	-0.0642368	0.16959	0.482421	1.46299	1.8327	0.549971	0.531241	0.186095	0.269785	0.700827	1.289	0.444185	0.0505141	0.329977	0.452718	1.30992	-0.0841269
orf19.1059	-2.48143	1.35779	0.705756	0.790199	-3.18347	0.0282975	-0.449173	-1.06329	-0.458888	0.605627	-0.724021	-0.687992	-1.6814	-0.133387	-0.669693	-2.79978	-2.92329	-2.10769	-0.461232	-0.611414	0.343462	-0.0582932	-0.164367	-0.974029	0.261931	-0.37296	-0.264161	-0.497581	-0.647326	-0.123202
orf19.1061	-2.99398	1.27583	0.658962	0.951421	-5.15373	-0.0600592	-0.721699	-1.48698	-0.749627	0.378025	-0.728859	-1.12668	-1.90456	-0.141592	-0.519629	-2.63349	-4.10355	-3.27387	-0.76177	-0.647625	0.191325	-0.118162	-0.146201	-1.11741	0.130093	-0.601451	-0.375877	-0.818402	-1.2872	-0.706056
orf19.1062	0.595749	0.438427	0.0338345	0.592215	0.799299	0.400886	0.182754	0.0518055	0.0700336	0.0335367	0.992706	0.0706829	-0.305098	-0.535316	1.06641	1.34539	1.1362	-0.818	-0.00671672	0.0759051	0.068995	0.0620924	-0.935875	-0.720303	-0.709288	-0.349372	0.284184	-0.459151	-1.20749	-1.79554
orf19.1063	0.765294	-0.110259	-0.48724	-0.112668	-0.999736	-0.160477	0.223988	-0.0038488	-0.12184	-0.0398513	-0.057031	-0.823104	-0.571873	-0.387218	0.00306589	0.0661067	0.0455796	-0.51658	-0.901657	-0.457179	-0.0477178	-0.234613	-0.843147	-1.08023	-0.111519	-0.19941	-0.115725	-0.471512	-0.4628	-0.108904
orf19.1064	-2.7191	-0.25948	-0.176724	-1.43952	-2.33496	-0.140047	-0.21021	-0.128077	0.359216	0.554353	-0.320611	-0.747632	-0.879292	-1.18597	-0.343107	-0.198108	-0.436793	-0.562022	-0.345889	-0.946736	-0.394416	-0.116028	-0.204432	-0.850035	0.241022	0.0257856	0.0249204	-0.21891	-1.30843	-0.657876
orf19.1065	-4.33502	-1.11932	-1.93592	-3.16834	-3.21488	1.67306	2.19111	0.745039	0.379365	0.3429	0.130867	1.0488	0.534449	-1.36691	-0.141699	0.0902668	0.822427	1.68825	0.353233	0.337198	-0.26717	-0.425782	1.02156	1.42993	0.289613	-0.662456	0.406005	0.585919	1.49958	-0.329501
orf19.1066	0.526117	0.209311	-0.394868	1.56664	0.858297	1.8773	-0.811442	0.15512	0.245643	-0.0906565	1.40854	0.566102	-1.15644	-0.530913	1.30086	1.56381	0.658928	-1.52344	0.531403	-1.38471	-0.479363	0.117813	1.28553	-0.598745	-0.740712	-0.227576	1.6678	2.13447	0.118525	-0.125286
orf19.1067	-1.67055	2.19003	1.03662	2.06374	1.50308	2.64678	1.91272	1.23444	1.49478	0.0867839	0.928453	-0.0104102	-1.8694	-2.37723	1.23844	1.15208	1.231	-0.527733	-0.413995	-2.23758	-2.35542	-0.543379	-0.0136145	-0.864455	-2.39114	-1.79573	0.25085	0.4467	-0.0309198	-1.8651
orf19.1069	0.917443	0.312781	1.59951	1.73996	1.22687	2.94492	0.531954	0.190025	0.173705	0.278862	1.06502	0.455697	-0.949354	-0.637264	1.20048	2.81557	2.62129	0.900009	1.25919	-0.143581	0.340548	0.274797	2.00433	0.221461	-0.0994151	0.390414	2.3543	2.88152	0.818333	-0.520645
orf19.107	1.68166	-1.93278	-2.79406	-3.18779	-1.95535	-1.59679	-2.17082	-1.02502	-1.1389	-0.280504	-1.23035	-1.81719	0.423692	1.51017	-1.45559	-0.68078	-3.59455	-2.08206	-1.20398	0.355394	0.602904	0.0406744	-1.11148	-0.956031	1.19652	0.765499	-0.0708832	-0.897797	-1.6977	0.487002
orf19.1070	-0.412408	-0.142163	-0.0389917	0.0231405	-0.187726	-0.338263	-0.202589	-0.161056	-0.483369	-0.250628	-0.274556	0.138938	-0.429317	-0.307714	-0.349945	-0.617987	-0.354363	-0.467636	0.198524	0.0779319	0.106679	0.0283065	0.184495	0.141272	0.32457	0.171711	-0.32226	-0.67331	-0.0191653	0.161611
orf19.1077	-0.807577	0.188782	0.875586	1.39399	0.889136	0.0699835	1.83111	1.70228	1.0931	0.513684	-0.190864	0.137904	-0.724122	-0.938512	0.730803	2.07049	3.44859	1.96321	0.262528	-0.660305	-0.0702767	-0.337768	-0.0992808	0.101343	-0.373193	-0.32595	-0.66479	-0.649679	0.100841	-0.3614
orf19.1078	-2.29971	0.548579	0.804744	1.73544	1.94509	0.420772	0.422521	0.195969	0.195879	0.0883608	0.383379	0.599572	0.0885764	-0.705999	0.506726	1.14677	2.34949	1.80554	0.520877	0.373095	0.403123	0.114073	0.482869	1.16061	0.405297	0.114502	0.0210192	0.159474	0.695664	0.20504
orf19.1080	0.499617	-1.48583	-1.14304	-1.4092	-2.14507	-0.907821	-1.08276	-1.17409	0	-0.18618	-1.4655	-0.338336	0.324888	0.0222626	-0.595347	-1.01717	-0.947444	0.465008	-0.90809	-0.17429	0.525605	0.228496	-0.291269	-0.1745	-0.111287	0.890976	-0.466511	-1.81773	0.337749	0.0978357
orf19.1082	1.34844	-1.90718	-2.682	-2.7867	-1.47158	-1.9332	-1.86859	-1.4328	-1.51975	-0.715382	-0.39523	-1.00543	0.240329	1.2827	-0.636081	-0.373988	-3.28944	-1.84035	-1.00163	-0.231128	0.0930941	-0.432676	-0.965284	-0.814859	0.476657	0.108564	0.14645	-0.0313855	-0.990869	0.288023
orf19.1082.1	-0.17775	0.524186	0.677438	0.570702	2.3141	0.243238	0.51309	0.641344	0.65014	0.453293	0.197208	0.0952353	-0.314697	-0.43376	0.00249958	0.0618823	0.281597	-0.377556	0.0160169	-0.108082	-0.252105	0.136633	-0.115502	-0.164411	-0.365076	-0.246204	0.109719	0.0597137	-0.452282	-0.355433
orf19.1083	-0.0178826	-1.24467	-1.90193	-1.22115	-1.30016	-1.13951	-1.30191	-0.845621	-0.690279	-0.330063	0.00246295	0.0148975	0.0383444	0.543944	-0.163941	-0.104067	-1.04236	-1.92477	-0.0166781	0.159546	0.38773	0.048255	0.150348	0.276588	0.676894	0.711494	0.11249	0.172507	0.190457	0.423618
orf19.1084	0.271665	-0.499284	0.0388799	-0.448975	-0.746588	0.171411	-0.0347847	-0.324395	-0.382867	-0.318672	-0.497083	-0.0815099	0.101025	0.160481	-0.23199	-0.239875	0.117534	0.622549	-0.345783	0.111607	0.238708	0.0826527	-0.717438	-0.316749	-0.283074	-0.00708799	-0.14013	-0.890294	0.0340371	0.138783
orf19.1085	-0.5717	0.201358	0.0255355	-0.0125284	0.111915	0.442028	0.876099	0.60439	0.336354	0.123404	0.209973	0.468304	0.385881	-0.342528	0.225775	0.309156	0.29807	0.524556	0.215415	0.372459	-0.0442912	-0.0574225	0.0642397	0.544705	-0.245764	-0.358895	0.232551	0.0503476	0.108555	-0.231866
orf19.1086	-0.0163077	-0.157679	-0.106095	-1.06276	-0.224727	0.284851	0.335265	0.202905	0.0921343	0.0487132	-0.455038	-0.209071	0.385512	0.204978	-0.0727325	-0.236752	-0.444432	0.476356	-0.512412	-0.312696	-0.254858	-0.167086	-0.759645	-0.289576	-0.282416	-0.203013	-0.374044	-1.0141	-0.257738	-0.188302
orf19.1087	0.899442	-0.040827	0.488958	0.723716	1.09319	-1.34098	-0.965997	-0.777019	-1.02752	-0.766241	0.220445	0.629769	0.0735287	0.208459	0.485277	0.504429	0.766277	0.325358	-0.0829734	-0.141269	0.19862	-0.0581003	0.132463	-0.0728409	-0.205844	0.152416	0.0733902	-0.0562307	0.675736	0.307771
orf19.1089	-1.37915	0.383088	0.958049	1.90156	1.89277	-0.147422	-0.389758	-0.0579165	0.159876	-0.528408	0.601138	1.27963	0.795362	0.359356	0.24613	0.231532	0.172569	0.319742	1.04044	1.31986	0.416625	0.420338	0.90766	1.93357	0.301489	0.139125	0.134957	0.469618	1.74003	0.582423
orf19.109	-0.891627	-0.00503729	0.492458	0.614325	0.746443	0.372624	0.73654	0.57783	0.751706	0.688229	-0.0808172	-0.6056	-0.500853	-0.489967	0.0872611	-0.126047	-0.590308	-0.351936	-0.0985294	-0.00990179	0.012117	0.190546	0.0172243	0.581302	0.479628	0.38261	0.0444833	-0.256275	-0.0456341	-0.0165471
orf19.1090	0.674379	-1.35146	-2.34588	-2.19576	-2.24625	-0.413874	-1.44259	-1.22426	-1.35876	-0.497574	-1.20404	-0.855584	-0.329835	0.661357	-0.896968	-1.02209	-0.751378	-1.48706	-0.382554	0.239932	0.851984	0.468485	-0.255313	-0.453584	0.931622	0.927756	0.181656	-0.294843	-1.82089	0.316391
orf19.1091	1.24852	-2.46056	-4.0549	-3.52265	-2.30631	-2.59375	-4.24014	-1.9325	-2.12823	-1.27302	-2.70228	-2.64297	0.722748	2.25057	-2.55661	-1.13932	-2.53336	-1.41037	-1.23763	0.12991	0.686715	-0.243318	-1.71549	-1.76259	0.591393	0.329622	-0.414183	-1.89995	-2.21944	-0.0384086
orf19.1092	-1.52491	-0.172417	-0.47626	-0.179093	-0.71035	-0.469157	-0.27263	-0.334639	-0.534849	-0.135673	-0.457691	-0.545833	-0.195319	0.191687	-0.222352	-0.697426	-0.301559	-0.144144	-0.290918	0.247683	0.452632	0.271063	-0.785308	-0.541878	-0.237553	-0.147211	-0.117667	-0.738987	-0.294513	0.110604
