Name	Spom_LAG	Spom_LL	Spom_DS	Spom_PS	Spom_PLAT	Spom_HS5	Spom_HS15	Spom_HS30	Spom_HS60	Spom_0.2MKCl.10	Spom_0.2MKCl.20	Spom_0.2MKCl.40	Spom_0.2MKCl.80	Spom_0.4MKCl.10	Spom_0.4MKCl.20	Spom_0.4MKCl.40	Spom_0.4MKCl.80	Spom_0.8MKCl.10	Spom_0.8MKCl.20	Spom_0.8MKCl.40	Spom_0.8MKCl.80
SPAC3A12.06c	-0.690698	0.432076	1.39029	1.59006	1.3438	-0.147311	0.429237	0.10832	-0.635273	0.724467	1.01734	0.133704	0.0208563	0.586051	1.09268	0.720997	0.281466	0.0145648	0.244538	1.25159	0.707796
SPAC3A12.07	-0.1028	-0.0617569	-0.223029	-0.10777	-0.180803	0.0809194	-0.26727	-0.22057	0.0903123	0.0145824	-0.20548	-0.0311871	0.116139	-0.163237	-0.24976	-0.525797	-0.189052	-0.143215	-0.239661	-0.489878	-0.405989
SPAC3A12.08	-0.0806324	0.623459	2.08706	2.41024	1.71831	0.660639	1.48837	1.74128	1.29978	0.712981	1.17049	0.246435	0.176141	0.66752	1.15283	0.809222	0.441977	0.233721	0.496946	0.988323	1.35689
SPAC3A12.09c	-0.308417	0.0174706	-0.796751	-1.09153	-0.980824	-1.41233	-0.858655	-0.545524	-0.427531	-1.12052	-0.716409	-0.395381	-0.188008	-0.894977	-1.28652	-0.32663	-0.513839	-0.257425	-0.0871194	-1.16822	-0.892436
SPAC3A12.10	0.147602	0.140408	-0.185067	-0.341543	-0.919676	0.529633	0.303245	0.142907	0.356729	-0.02727	0.0440365	0.0339935	0.0760585	0.0148784	-0.00604642	-0.200712	-0.112485	0.0325779	0.129926	0.128669	0.0131637
SPAC3A12.11c	0.197942	-0.0439627	-0.217327	-0.487668	-0.0483391	0.778878	0.849016	0.341916	0.300059	0.314057	0.202362	-0.0453428	0.108447	0.0488491	0.223308	-0.0364252	-0.170619	0.0207465	-0.190595	0.0678737	0.0835722
SPAC3A12.12	0.44011	0.109086	0.110222	-0.113461	-0.128131	0.923616	1.583	1.1766	0.841676	-0.0759824	-0.0668583	-0.197356	-0.150928	-0.00206067	-0.0782239	-0.164181	-0.18271	0.0430947	0.121733	-0.199301	0.14073
SPAC3A12.13c	-0.464373	-0.34041	-1.43573	-1.79182	-2.02857	0.39075	0.00315747	-0.0221225	0.407754	-0.0578232	-0.354843	-0.241462	0.105862	-0.196257	-0.424841	-0.533615	-0.276861	-0.139574	-0.209506	-0.751008	-0.837606
SPAC3A12.14	-0.726173	0.277477	0.481526	0.760952	0.383837	0.270908	0.509343	0.569762	0.222277	0.425563	0.706743	0.405978	0.202758	0.383362	0.690587	0.983786	0.598824	0.0493058	0.163779	0.617855	0.987341
SPAC3A12.15	-0.320165	-0.212683	-0.768186	-0.858793	-0.621932	-0.395084	-0.395973	-0.280331	-0.227074	0.0308473	0.165876	0.121153	-0.00376591	0.0193876	-0.025846	0.108834	0.175092	-0.0747952	-0.101084	-0.244537	-0.418249
SPAC3A12.16c	0.242824	-0.244508	-0.321163	-0.172745	-0.38481	-0.56706	-0.973281	-0.806202	-0.413582	-0.157219	-0.468714	-0.143755	-0.180401	-0.0736777	-0.485549	-0.245976	-0.165567	0.105644	-0.0535395	-0.368664	-0.187759
SPAC3A12.17c	-0.686615	0.126286	-0.194731	-0.213301	-0.0553243	0.0353763	0.206747	-0.128991	-0.164104	0.277615	0.257196	-0.00475857	-0.128852	0.186462	0.564254	-0.0436451	-0.160502	0.048185	0.138543	0.222665	-0.173685
SPAC3A12.18	-1.38966	0.813174	0.628405	0.485764	0.719411	0.242094	1.09473	1.442	0.433534	0.754526	1.31955	1.06572	0.303458	0.499027	1.3944	1.48953	0.952287	0.0450543	0.0571773	1.19117	1.66954
SPAC3A12.19	-0.448642	0.257057	0.664427	0.852643	0.935822	-0.143882	-0.464473	-0.722468	-0.776743	0.55272	0.276982	-0.0817897	-0.108868	0.496896	0.551058	0.269795	0.0402243	-0.00884325	0.277035	0.779514	0.270193
SPAC3C7.01c	-0.0229233	-0.189169	-0.795036	-0.889485	-1.03192	-0.498206	-0.615209	-0.171972	-0.00859046	-0.204368	-0.249988	-0.086134	0.106045	-0.0746553	-0.386487	-0.298024	-0.0326089	-0.163102	-0.0397245	-0.327351	-0.0743676
SPAC3C7.02c	-0.263468	-0.0737175	1.58326	1.66703	1.06557	-0.507167	-0.402823	-0.143993	-0.364951	-0.493797	-0.0639813	-0.0858433	-0.293071	-0.414645	0.133306	0.233008	0.202277	0.0990512	0.0474854	0.727109	0.527982
SPAC3C7.03c	-0.526766	-0.0605381	0.778832	0.99545	0.464854	-1.08011	-0.551975	-0.277953	-0.532342	-0.359009	0.0228733	-0.209301	-0.420515	-0.703154	0.130634	-0.0504021	-0.100265	-0.0584115	-0.0959716	-0.287777	-0.689083
SPAC3C7.04	0.77409	0.0739347	0.314157	0.527901	0.702761	-0.756993	-0.499175	-0.798969	-0.533139	-0.134883	-0.135934	-0.0800159	0.00715267	-0.0833729	-0.491736	-0.108182	-0.123521	-0.0377346	0.00470329	-0.242374	0.00355077
SPAC3C7.05c	-0.355961	2.07586	5.04738	5.24183	4.56199	1.23978	2.55174	2.54326	0.335955	1.67988	2.56201	1.1853	0.433619	0.773476	2.8433	2.74111	1.35316	0.13135	0.280418	2.94824	3.5483
SPAC3C7.06c	0.0091757	-0.389773	0.332523	0.485464	0.557772	-0.345701	-0.33166	-0.755147	-0.590749	-0.240284	-0.041321	0.252084	0.129403	-0.510654	0.187341	0.0264735	0.163536	-0.107606	0.28818	0.484573	-0.373567
SPAC3C7.07c	0.061786	-0.0147973	-0.0100275	-0.131349	-0.151465	-0.150266	-0.477533	-0.0408495	0.0672508	0.00850253	-0.14984	-0.114329	-0.0351857	-0.18751	-0.548335	-0.18632	-0.125602	-0.248834	0.0936653	-0.624985	-0.344854
SPAC3C7.08c	0.686877	-1.95397	-2.26944	-2.11098	-2.11421	-1.80203	-1.99839	-1.41418	-0.612301	-1.27622	-1.58787	-0.407807	-0.190035	-0.531524	-1.70523	-1.01588	-0.160413	0.0453996	-0.0643419	-0.906593	-1.3472
SPAC3C7.09	-0.0440734	0.20725	1.24951	1.42117	0.819248	-0.073216	0.0880039	0.0239578	0.256505	-0.0124235	0.0214026	-0.0513674	-0.196593	-0.00987891	0.00418772	-0.119918	-0.120859	-0.0474255	-0.0356055	0.167702	0.235803
SPAC3C7.10	-0.10759	0.196839	0.19755	0.15589	0.168424	0.208157	0.477146	0.576171	0.378891	0.186738	0.410599	0.0757944	0.0912883	0.0425756	0.259101	0.185784	0.119259	-0.164265	-0.0117522	0.105135	0.289907
SPAC3C7.11c	-1.42441	0.289236	0.771602	0.620532	0.127328	0.311317	0.729475	1.037	1.01361	0.169394	0.224395	0.0947642	-0.156924	0.052567	-0.148811	0.203607	0.292255	0.000504577	-0.0397843	-0.0510822	0.248207
SPAC3C7.12	-0.707031	0.362414	-0.151743	-0.345581	-0.382933	0.152174	0.491927	0.374929	0.41998	-0.172522	-0.119874	-0.0416416	-0.0738586	-0.510433	-0.57527	-0.18119	-0.249922	-0.00193408	-0.245467	-0.596445	-0.10656
SPAC3C7.13c	0.802122	1.3036	5.83437	6.34119	4.93382	0.0614822	1.80561	2.42406	1.02575	1.85548	2.66958	1.81237	0.669846	1.11983	3.09634	3.19283	2.01908	0.0595138	0.355817	3.44484	3.53435
SPAC3C7.14c	-2.18057	0.237964	-0.225067	-0.569714	-0.779445	0.220483	0.457009	0.855507	0.957944	0.341454	0.655445	0.822877	0.928296	0.210038	1.12858	1.14752	1.20971	-0.0757656	0.0168067	1.57434	2.28849
SPAC3F10.02c	0.157352	-0.343143	-0.729187	-0.745167	-1.03336	-1.0128	-0.749749	-0.664907	-0.497642	-0.838161	-0.514384	-0.16642	-0.207633	-0.752604	-0.778407	-0.373563	-0.248711	-0.0286214	-0.234573	-0.789115	-0.630103
SPAC3F10.03	-0.115355	-0.184709	-0.898817	-1.05623	-1.08343	-0.0472739	-0.283994	-0.509058	-0.38806	-0.044215	-0.0579688	-0.197167	-0.137113	-0.0214829	-0.0928898	-0.382187	-0.292983	0.0257099	0.14338	-0.0981152	-0.816781
SPAC3F10.04	-0.466584	0.255509	-0.276837	-0.597749	-0.744539	-0.0680057	-0.203223	0.0229505	-0.00173842	0.0635746	0.266346	0.24577	0.104915	0.060688	0.200449	0.213114	0.249928	0.049114	0.0150861	-0.131229	0.0675496
SPAC3F10.05c	0.653936	-0.318309	-0.4873	-0.252417	0.220346	-1.26388	-1.12635	-0.917118	-0.654356	-0.749897	-0.60768	-0.0368406	-0.0844638	-0.829735	-0.763007	-0.282621	-0.254441	-0.0302323	-0.334762	-0.609627	-0.310386
SPAC3F10.06c	0.349274	-0.350413	-0.549627	-0.273955	-0.108472	-1.54447	-1.2233	-1.09416	-0.82952	-0.638933	-0.537812	-0.09549	-0.23953	-0.580656	-0.723697	-0.0583707	-0.129389	-0.000848236	-0.314485	-0.808365	-0.374102
SPAC3F10.07c	0.554771	0.241617	0.553925	0.998921	1.20517	-0.860517	-0.291718	-0.237546	0.0703337	-0.665961	-0.295972	0.0728955	-0.0759853	-0.68308	-0.535792	0.131928	0.0507111	-0.000940428	-0.298506	-0.608152	0.157581
SPAC3F10.08c	0.806429	-0.847787	-1.35512	-1.75611	-1.04416	-0.344986	-0.244495	-0.144925	0.345606	-0.0793866	-0.830235	0.0236083	0.117328	0.0364453	-0.315416	-0.783783	-0.163312	-0.146803	-0.0108229	0.139631	-0.722339
SPAC3F10.09	0.136732	-0.295949	-0.871418	-0.82519	-0.797014	-0.018906	-0.21798	-0.175014	-0.0194763	-0.0694414	-0.151407	-0.110041	0.0721448	0.147852	-0.144169	-0.406979	-0.0271358	0.0565815	0.145451	0.0365326	-0.407806
SPAC3F10.10c	-0.0891361	0.678468	0.0452542	-0.0331047	-0.133909	-0.900072	-0.507549	-0.687187	-0.710536	-0.0555828	0.0921489	0.0204558	-0.234018	-0.195225	0.171909	0.156594	0.269367	0.185139	0.638094	0.395746	0.245379
SPAC3F10.11c	-0.292944	-0.287369	-0.885252	-0.809287	-0.5552	-0.403036	-0.448079	-0.407221	-0.139435	0.126063	0.184088	0.157215	0.115226	0.263154	0.270084	0.414132	0.46871	0.129159	0.0209475	0.399448	0.262073
SPAC3F10.12c	0.579261	-0.780648	-0.953944	-1.0668	-0.776623	-0.199799	0.0394854	0.176717	0.017513	-0.0711038	0.326091	0.191256	0.12861	-0.626084	0.182658	0.328648	0.146416	-0.381846	-0.613021	-0.31784	-0.159517
SPAC3F10.13	-0.703521	-0.0227093	0.118045	0.266309	0.398027	0.733073	1.34751	0.794698	0.234633	0.561126	0.816137	-0.228722	-0.137436	0.435641	0.79974	0.481521	0.0495927	0.240277	0.246716	1.12522	0.695766
SPAC3F10.15c	-0.97876	-0.229167	-2.69699	-2.25127	-1.28407	-0.25241	-2.55713	-0.974629	-0.221238	-0.612457	-1.94316	0.641867	0.197955	-0.123906	-0.930777	-0.720059	0.316637	-0.142461	-0.203499	-0.116169	-1.33926
SPAC3F10.16c	1.08671	-1.57418	-2.39623	-2.35376	-2.08211	-1.58274	-1.5535	-1.17542	-0.697704	-0.914876	-1.33277	-0.207424	-0.155122	-0.134443	-1.36745	-0.9219	-0.412537	-0.0076192	0.0239358	-0.741211	-1.02083
SPAC3F10.17	0.832849	-1.01587	-1.81262	-1.93076	-1.01918	-0.409593	-0.654787	-0.236477	0.0685853	-0.524095	-0.867084	0.0431975	0.0196522	-0.0965597	-0.821596	-0.623696	-0.273925	-0.0461352	0.0120072	-0.474866	-0.828062
SPAC3F10.18c	0.0110783	0.0266577	-1.41156	-2.23363	-3.1958	1.33568	0.958255	0.881747	1.32573	0.202155	0.24643	0.296913	0.161005	-0.936633	-0.572358	-0.231371	-0.185193	-0.427227	-0.0680105	-0.350034	0.12191
SPAC3G6.01	0.459631	-0.130097	-0.742361	-0.739876	-0.343977	0.209723	-0.381825	-0.448569	-0.0376101	-0.133152	-0.0786322	-0.0686925	0.0974908	-0.142857	-0.280284	-0.0504135	-0.0440787	-0.0306948	0.0470651	-0.289346	-0.126083
SPAC3G6.02	0.17834	-0.113709	-0.422542	-0.767739	-0.760209	1.66941	1.55276	1.72736	1.77745	0.0980817	0.125109	0.0461454	0.0608662	-0.0891628	0.182719	-0.123295	0.00960045	-0.075087	-0.0590551	-0.0237606	-0.0630898
SPAC3G6.03c	0.544834	0.0588786	0.218293	-0.116509	-0.361703	0.189823	0.0355264	0.0630529	0.0347739	0.118489	0.207541	-0.0329174	0.0847884	0.329898	0.305162	-0.0561259	-0.0718685	0.0689189	0.216539	0.345073	0.0653273
SPAC3G6.04	1.03509	-1.2342	-2.77633	-2.89541	-2.31461	-0.550989	-1.17953	-0.838945	-0.175429	-0.502048	-1.34806	-0.22391	-0.158874	0.0133708	-0.954236	-0.982384	-0.428006	-0.0274744	0.0811161	-0.786955	-1.15903
SPAC3G6.05	0.176961	-0.776809	0.845099	0.981449	0.797197	0.109551	0.59813	0.705593	-0.30778	0.392905	0.817183	-0.251507	-0.655583	0.224941	0.664081	0.365472	-0.637221	0.110084	0.195759	0.690882	0.0034096
SPAC3G6.06c	-1.41545	-0.17887	-0.0858355	-0.125345	-0.494843	0.428952	0.799038	0.476222	0.0870099	0.0745737	0.275367	-0.251915	-0.233607	-0.250611	0.0745195	-0.144425	-0.258017	-0.0672257	-0.0946849	-0.333977	-0.329103
SPAC3G6.07	0.482866	3.99039	10.1576	11.4538	10.4801	4.24867	8.552	7.62579	3.53613	3.96009	5.37485	1.03397	-0.361137	0.569523	5.77707	4.473	2.33598	0.251895	1.25805	5.41091	4.96639
SPAC3G6.08	-0.429385	0.12946	0.203863	-0.0506535	-0.170925	1.02101	1.08447	1.4194	1.29072	0.171931	0.347519	0.128179	0.0317302	0.167294	0.257183	0.239566	-0.0783504	-0.157693	-0.0519364	0.0894066	0.145869
SPAC3G6.09c	-0.0724899	0.523405	0.615657	0.478056	0.351394	0.0017056	0.425476	0.397719	0.0860759	-0.222424	0.456986	0.011867	-0.0144731	-0.40076	-0.180326	0.360778	-0.0384443	0.0442741	0.0329288	-0.219129	0.513359
SPAC3G6.10c	-0.153077	0.123597	0.104324	0.229154	-0.0272713	0.0786013	0.251799	-0.0920352	-0.0843988	-0.0630182	0.128747	-0.0552889	-0.16517	-0.234889	-0.125017	0.346563	0.0448331	0.0121425	0.00457348	-0.125108	0.144713
SPAC3G6.11	0.565852	-0.369822	-1.14806	-1.22975	-1.53199	-0.614054	-0.657915	-0.217766	-0.0381198	-0.777006	-0.541284	-0.103903	0.0128078	-0.366908	-1.24791	-0.30215	-0.211706	-0.194028	-0.542667	-1.4826	-0.560689
SPAC3G6.13c	0.0736471	0.349844	0.473709	0.207603	-0.933839	2.84635	2.54568	2.2751	2.66642	0.0946755	0.242937	0.250639	0.328852	-0.274206	0.112762	0.137287	-0.159751	-0.301196	-0.147018	-0.0588004	0.334319
SPAC3G9.01	-0.440694	-0.0011765	-0.613517	-1.09034	-1.12618	-0.305669	-0.0318733	-0.0954246	0.0210349	-0.457429	-0.11872	-0.169884	-0.0667566	-0.965292	-0.300727	-0.110103	-0.116279	-0.313351	-0.819165	-0.295027	-0.0262502
SPAC3G9.02	-0.457849	-0.161414	-0.541206	-0.765316	-0.354534	0.161291	-0.329399	0.259775	0.587874	-0.0227545	-0.299966	-0.133198	-0.0115687	0.118622	-0.189172	-0.442525	-0.338389	-0.0747175	-0.0122698	-0.419777	-0.668417
SPAC3G9.03	0.221085	-0.299156	-1.06722	-0.973918	-0.95162	0.859862	0.136524	0.206827	0.750716	-0.262913	-0.394425	-0.246083	-0.0649626	-0.247312	-0.362828	-0.629323	-0.238487	-0.0675226	-0.0504633	-0.337088	-1.24319
SPAC3G9.04	0.187322	-0.0843872	-0.464612	-0.755605	-0.216936	0.370044	0.0816949	0.206891	0.227372	-0.317818	0.00493473	-0.0868327	-0.0548215	-1.02933	-0.196335	-0.163586	-0.0561937	0.0866693	-0.345071	-0.667076	-0.334713
SPAC3G9.05	0.540475	-0.142502	-0.349305	-0.515756	-0.426739	-0.295247	-0.393086	-0.397706	-0.190308	-0.759355	-0.350229	-0.208294	-0.232186	-0.605727	-0.536376	-0.0149111	-0.110867	-0.00934875	-0.232934	-0.89684	-0.477163
SPAC3G9.06	-0.593851	-0.130657	-1.41611	-1.39651	-1.34894	0.136055	-0.143689	-0.275086	0.0448569	-0.00814088	-0.0851542	-0.0562626	-0.0263638	0.0710535	0.106163	-0.273157	-0.0299324	0.00610981	0.0939757	-0.00556878	-0.596675
SPAC3G9.07c	0.0237199	-0.377261	-0.203398	-0.192436	-0.340925	-0.882884	-0.376231	-0.150441	-0.22343	-0.651152	-0.247282	-0.0327075	-0.00598299	-0.598342	-0.399735	0.0310996	-0.299314	0.0490689	0.0913183	-0.450435	-0.346827
SPAC3G9.08	0.594452	-0.23988	-0.0313739	-0.0168234	-0.0603069	-0.860795	-0.634183	-0.473413	-0.393468	-0.959146	-0.366691	-0.090186	-0.25722	-1.46021	-0.732955	-0.206163	-0.300681	-0.0536032	-0.044871	-0.863731	-0.272579
SPAC3G9.09c	-0.0824557	-0.11297	-1.06281	-1.14365	-1.46558	0.236362	-0.218059	-0.568496	-0.146146	0.0585743	-0.0649249	-0.0817202	-0.0756741	-0.0331009	0.0183986	-0.285899	-0.200358	0.106746	0.105046	0.163717	-0.382935
SPAC3G9.10c	0.328745	-0.816931	-1.75008	-1.78277	-1.48455	-0.146965	-0.66009	-0.333008	-0.0457411	-0.304277	-0.80117	-0.194941	-0.0152267	-0.146122	-0.683098	-0.742217	-0.230798	0.062038	0.084704	-0.407353	-0.644653
SPAC3G9.11c	5.13543	0.779582	6.81577	7.5684	7.97015	-0.176265	0.350366	0.930821	-0.392848	-0.540308	0.586757	0.138271	-0.418904	-0.26799	0.901506	1.85234	0.162055	0.188458	0.135629	1.82237	3.89174
SPAC3G9.12	0.275519	0.00630545	-0.140169	-0.240142	-0.152649	-0.289119	-0.27399	-0.103814	0.0625659	-0.549773	-0.785241	-0.0163432	-0.11787	-0.393713	-1.16005	-0.164281	-0.133472	-0.110153	-0.576902	-1.15677	-0.233841
SPAC3G9.13c	0.464275	0.469175	1.09365	1.21554	1.22665	0.124997	-0.222927	-0.612869	0.0828956	-0.881249	-0.73222	-0.41403	-0.184745	-0.0959379	-0.404452	-0.711959	-0.24269	0.00357526	-0.0646419	-0.401912	-0.365842
SPAC3G9.14	0.634791	-0.0851346	-0.59714	-0.327611	-0.0965175	-1.07321	-1.26916	-1.15495	-0.676315	-0.936832	-0.509368	-0.21324	-0.0845781	-0.8237	-0.832395	0.00446371	-0.221947	0.110873	-0.354864	-0.569407	-0.414441
SPAC3G9.15c	0.370476	-0.693244	-0.926222	-0.861767	-0.448712	0.187547	-0.171913	-0.0894098	0.102789	0.0389146	-0.437402	-0.0986988	0.0274954	0.161128	-0.168689	-0.424867	-0.323257	-0.00197312	0.111988	0.20826	-0.279007
SPAC3G9.16c	-0.81239	0.00280714	0.035745	0.235196	-0.04084	-0.180032	-0.570659	-0.39435	-0.576852	0.481606	0.494421	0.0322623	-0.0693075	0.457701	0.580771	0.711885	0.0703227	0.109852	0.0221095	0.365967	0.603392
SPAC3H1.01c	0.331112	-0.150063	-0.557128	-0.71779	-0.744641	-0.417663	-0.454226	-0.0253832	0.0711467	-0.201288	-0.0744549	0.0606027	-0.129279	-0.027255	-0.214607	0.0508638	0.12221	0.128401	-0.0231099	-0.450849	0.0484693
SPAC3H1.02c	-0.300349	-0.185263	-0.607866	-0.77988	-0.802089	-0.100513	-0.0846458	0.0233207	0.132694	0.0848664	0.0684499	-0.023567	-0.0588502	0.100226	0.0816726	0.0418192	-0.0133257	0.15327	0.146645	0.148106	0.13592
SPAC3H1.03	0.0168795	-0.242629	-0.291826	-0.626698	-0.355178	1.59482	1.40079	1.19737	1.5365	0.0151852	-0.136721	-0.216378	-0.00517013	-0.112307	-0.12131	-0.526744	-0.313988	-0.197466	-0.109688	-0.125599	-0.615113
SPAC3H1.04c	0.0692768	0.26353	0.0452436	-0.260903	-0.175387	-0.248008	0.165932	-0.151291	-0.345226	0.0606282	0.050767	0.104904	0.0719612	-0.176817	-0.18566	0.0811469	0.0840117	-0.0563652	-0.0730555	-0.424425	0.0250576
SPAC3H1.05	0.276462	0.0113186	-0.593105	-1.03342	-0.757912	-0.249469	-0.256329	-0.162541	-0.167098	0.0384879	0.0438192	0.0833317	0.0805027	0.00627927	0.167148	-0.227121	0.0170722	-0.128426	0.01017	-0.0541664	-0.241821
