Name	Klac_LAG	Klac_LL	Klac_DS	Klac_PS	Klac_PLAT	Klac_HS5	Klac_HS15	Klac_HS30	Klac_HS45	Klac_HS60	Klac_Salt-5	Klac_Salt-15	Klac_Salt-30	Klac_Salt-60	Klac_Ox5	Klac_Ox15	Klac_Ox30	Klac_Ox60	Klac_0.2MKCl-10	Klac_0.2MKCl-20	Klac_0.2MKCl-40	Klac_0.2MKCl-80	Klac_0.4MKCl-10	Klac_0.4MKCl-20	Klac_0.4MKCl-40	Klac_0.4MKCl-80	Klac_0.8MKCl-10	Klac_0.8MKCl-20	Klac_0.8MKCl-40	Klac_0.8MKCl-80
AAT64949.1	-0.274218	-0.115487	0.719549	0.836903	0.397763	0.986665	0.579965	1.71394	1.7178	1.75145	1.99087	1.05842	1.22247	1.1214	0.477679	0.470505	1.2413	1.73185	0.0433317	-0.670343	-1.09858	-1.12733	2.20389	0.202862	0.381072	0.183006	-0.920226	0.893382	0.80436	1.10533
AAT64950.1	0.299312	0.466605	1.49077	2.18308	2.06279	0.636151	1.0637	1.42085	1.08056	1.89032	1.10264	0.672762	0.314798	-0.0290286	-0.0479168	0.220165	0.608756	1.11905	0.352998	0.253877	0.148704	-0.0234583	0.658386	0.765074	0.309443	0.168001	-0.459974	0.0334666	0.744204	1.3503
AAT64951.1	0.483093	0.322495	-0.569461	-0.102053	-0.268488	-0.649345	-0.766006	-1.04134	-0.680565	-1.12973	-0.35063	-0.47547	-0.847514	-0.192078	0.0360599	-0.249121	-0.0390169	-0.297943	-0.0646945	-0.963081	-1.07534	-0.482305	0.186096	-0.775084	-0.655443	-0.699759	-0.415029	1.03223	0.156022	-0.340581
AAT64952.1	0.0724891	-0.19206	-1.04986	-0.607446	-0.620978	0.36595	-1.07925	-1.98521	-1.9095	-2.49632	-0.523277	-1.14888	-1.64493	-0.495189	-0.771086	0.138318	-2.23892	-1.54867	-0.615214	-1.72709	-1.56704	-1.3522	2.41018	-0.344049	0.346651	0.453168	0	0.751565	0	0
AAT64953.1	-0.239959	-0.14626	-0.632661	0.101303	-0.0543168	0.123989	-0.243465	0.0751439	0.378758	0.522383	0.338637	0.154274	-0.516802	-0.474566	-0.491197	-0.51434	-0.0276162	0.29682	-0.229028	-0.882191	-1.19138	-1.01212	1.88322	-0.105156	0.282714	0.106249	-1.00152	0.491064	0.598429	0.121664
AAT64954.1	-0.795075	-0.446529	-1.64184	-0.64158	-0.537856	0.590249	-0.0644876	0.164877	0.759454	0.663847	0.0870108	0.168971	-0.389614	-0.512023	-1.66219	-1.59095	-1.39783	-0.70053	-0.305294	-1.23182	-1.58225	-1.28372	2.35334	-0.275442	-0.196583	0.376485	-0.868114	0.881506	0.874322	-0.626071
AAT64955.1	0.226428	-0.819618	-1.27682	-0.970407	-1.13275	-0.136046	0.597155	-0.652843	-0.729837	-0.729436	0.429483	-0.216534	-0.438398	0.267663	-0.0990727	-0.528097	-1.26421	-2.24548	-0.464587	-0.516878	-0.0852043	-0.746702	1.11583	-0.064395	0.158216	0.557954	-0.575939	-0.791251	-0.154359	-0.920844
AAT64956.1	0.761961	0.400668	0.792318	1.20396	1.24801	0.309595	0.167357	1.01361	1.05892	1.56478	1.02184	1.08966	0.384431	0.220717	0.599384	0.599259	1.05752	1.22002	0.0860123	-0.308048	-0.693114	-0.663057	1.46573	0.48635	0.0924711	0.303965	-0.518256	0.7654	0.967123	1.03658
AAT64957.1	0.651406	0.0465308	-0.636096	-0.841628	-2.42285	0.422698	-0.465043	-0.915624	-0.377398	0.238298	0.0347678	-0.537528	-0.62145	0.588909	-0.15451	-0.0833755	-0.815163	-1.1833	0.0347453	-0.622259	-0.424216	-0.291031	0.874082	-0.267788	-0.781392	0.449481	-0.493346	0.166396	0.764467	-0.514828
KLLA0A00110g	3.2487	-0.791045	-0.851718	-1.06312	-1.1291	0.79404	2.26896	2.54991	1.9159	1.97867	-0.0835938	0.14021	-0.12036	1.19311	0.192224	0.995726	2.5039	3.35775	-0.0234549	-0.330252	-0.0400815	-0.180373	0.219185	-0.213378	-0.430987	0.205333	0.0547969	0.0537124	0.658942	-0.0378276
KLLA0A00132g	1.61524	-0.146808	-0.212529	-0.331151	-0.417618	1.22348	2.19678	2.06259	1.01723	2.12135	-0.0908676	-0.263478	-0.626916	-0.123849	0.155657	1.84398	2.64295	1.39178	-0.594136	-1.32168	-0.958325	-0.870803	0.118472	-1.19621	0.0137497	-0.261372	0.529661	-0.37483	0.406979	-1.21471
KLLA0A00154g	0.966304	2.94657	3.98744	2.73985	0.331476	0.935577	3.96865	5.51436	6.09417	6.83721	0.279151	-0.399057	-0.963286	-1.61144	0.0505157	0.0403244	-0.585858	-2.25855	-0.0987156	-0.258293	-0.496973	-0.761791	0.0149211	-0.665072	-1.37346	-1.61999	0.197872	0.237577	0.438038	-2.21625
KLLA0A00176g	3.1342	-0.535811	1.99361	2.18691	2.20496	0.667408	1.37266	1.61797	1.99085	2.56932	-0.0755001	-1.09296	-0.473753	1.76753	0.113096	0.18702	0.35481	0.359716	-0.318962	0.186117	1.51215	0.33143	0.247652	-0.56054	0.892143	2.08753	-0.183112	-0.779413	-0.588524	-0.26108
KLLA0A00198g	0.661263	0.417677	1.35079	1.51537	1.98263	0.829024	1.10955	1.50214	1.58199	1.91909	0.118984	-0.07914	-0.715854	-0.479698	0.0309334	-0.173522	-0.102894	-0.237863	0.703574	0.197026	0.202115	0.216717	-0.156317	0.941051	-0.13009	0.23072	-0.0250209	0.0318077	-0.425176	0.894071
KLLA0A00220g	-1.90489	1.57192	2.70006	2.75171	2.58899	0.542503	1.24368	1.88619	2.01525	1.96702	0.831472	0.384061	-0.14364	-1.16454	0.172321	0.0481659	-0.20703	-0.579948	0.813941	0.924104	0.0363115	0.221185	0.0594907	0.849185	0.901333	0.24238	0.0931685	0.0101303	0.0768048	0.768917
KLLA0A00242g	-0.578928	-0.740883	1.51721	1.6028	1.57216	0.602767	-0.0464888	-1.33704	-1.5123	-1.76943	1.02812	1.81026	-0.869983	1.68623	0.851198	0.566958	-0.268062	0.170685	2.23528	0.598091	-0.575029	0.240235	1.00159	1.76881	-1.33753	0.780221	-0.120566	-0.0255609	0.371974	-0.457897
KLLA0A00264g	-1.75609	0.885421	1.73747	1.93976	2.23279	0.851032	1.69459	2.08803	2.1108	2.07697	0.618053	0.828038	0.285807	-0.393344	0.0648438	0.147034	0.451526	0.657437	0.974964	1.19487	0.701197	0.61245	0.618055	1.68375	1.43179	0.78846	0.0377836	0.0582422	0.584826	2.98866
KLLA0A00286g	1.76379	0.0953475	-0.659964	-1.68136	-0.917449	-0.273929	-0.988959	-0.273055	-0.149622	-0.24367	0.285043	0.225549	0.436863	-0.112314	0.126614	-0.596586	-0.364238	0.754946	0.201983	0.0896494	-0.192375	0.376292	-0.174346	-0.179331	-0.273493	0.0360842	-0.0287912	-0.201183	-0.347932	-0.461811
KLLA0A00352g	-2.06282	-0.855922	-0.107838	0.370311	0.826456	0.861956	2.04794	1.56553	1.53884	1.71271	0.0402927	0.442173	0.398017	1.01494	0.6085	0.7398	1.45311	1.96673	0.639383	0.6475	-0.464527	-0.186136	-0.377955	0.229919	-0.623427	0.254632	0.0166694	0.0687177	-0.0950212	-2.23927
KLLA0A00374g	-2.76952	-1.32857	-0.61116	-0.493817	0.666713	0.146356	0.715097	0.705136	0.695175	1.36549	0.0721081	0.489055	0.889599	0.996739	0.409068	0.185103	0.806233	2.05407	0.484635	0.500069	-0.648045	-0.778194	0.188978	0.642943	0.0324252	-0.390613	0.0186584	-0.000957054	0.196545	-1.24346
KLLA0A00396g	-0.0261428	0.450692	1.13655	1.2856	1.53789	0.679741	0.52744	0.253312	0.34513	0.6947	0.279428	0.723448	-0.55181	-0.327564	-0.143661	-0.609262	0.275321	0.775211	0.571596	-0.152149	-0.254919	-0.327733	-0.358473	0.575906	-0.43116	-0.345022	0.0645652	-0.248138	-0.484448	0.235576
KLLA0A00418g	-0.0460637	-0.264437	4.15946	5.29897	6.11295	-0.141242	-0.968403	-1.35796	-1.29634	-1.6509	1.11484	0.0909823	-1.33408	-1.25772	0.0535878	-0.423852	-1.18761	-0.281968	-0.23712	-0.633854	-0.25327	-0.0618423	-0.338281	-1.1269	-1.35954	0.0595301	0.0597007	0.121841	-0.209358	-1.17346
KLLA0A00440g	-0.699431	0.455183	1.12303	0.903451	0.886018	-0.163851	-0.0507975	-0.0831233	-0.326335	-0.648299	0.146405	-0.298562	-0.636825	-0.508868	-0.364708	-0.503368	-0.571583	-0.205415	0.480337	0.0900078	0.029021	0.161097	0.16073	0.42179	0.192054	-0.0285709	0.0645934	-0.0337971	0.00964845	0.287702
KLLA0A00462g	-2.51544	0.593843	1.80747	1.98488	1.92638	-0.0144484	-0.21418	0.458145	0.568228	0.476493	0.250944	0.0419076	-0.7505	-0.81491	-0.242468	-0.696443	-0.326052	0.221075	0.490139	0.230702	-0.218326	0.0426302	-0.0528316	0.435349	0.0553756	-0.0383524	-0.0128676	0.125185	-0.00591686	0.120417
KLLA0A00484g	-0.621677	-0.125473	1.88694	4.66911	7.97832	-0.311038	-1.64666	-1.15063	-0.850513	-0.667492	0.769184	-0.133443	-1.48767	-1.07969	-0.287411	-0.585659	-0.964244	0.668983	0.0284132	-0.887612	-1.33656	-0.575241	0.512289	-0.368247	-1.40058	-0.488733	-0.0484566	0.150412	0.488457	-1.27402
KLLA0A00506g	-0.342451	0.725246	1.94149	2.12944	3.34624	0.352473	-0.163746	-0.00554592	-0.00634435	0.0281957	0.0054236	-2.10981	-2.69053	-2.03676	-0.169295	-0.0987854	-0.524757	-0.409823	-1.06528	-1.1685	-0.497704	-0.280661	-0.481579	-2.08774	-2.01447	-0.819381	-0.465218	-0.199218	-0.0222416	-3.12599
KLLA0A00528g	0.669679	0.537614	0.963611	1.38157	1.6838	0.485735	0.168075	0.242313	0.193601	0.264604	-0.182668	-0.614689	-0.439873	-0.436622	0.130235	0.28991	0.236095	-0.149134	0.0256231	0.0377344	0.162544	0.148675	-0.401001	-0.0969821	-0.043935	0.274109	0.00035157	-0.227402	-0.40573	0.0243503
KLLA0A00550g	-0.413191	0.367659	1.37852	1.86232	2.44515	0.168342	1.07272	1.29612	1.32074	1.45938	0.312725	-0.129292	-0.447885	-0.242984	-0.00363125	0.494019	1.50507	1.2625	0.617343	0.240016	-0.177888	0.0234257	-0.0169572	0.51129	-0.226351	0.0312063	0.104636	0.0577145	0.0177172	0.25921
KLLA0A00572g	-0.0973831	-0.185954	-0.557957	-0.365242	-0.279471	0.051627	0.031836	-0.311987	-0.29816	-0.0976802	-0.33926	-0.463914	-0.0879101	-0.0410076	0.0869501	-0.112065	-0.108709	-0.120437	-0.23368	-0.0958601	0.117661	-0.11805	-0.924794	-0.626386	-0.236295	0.0185439	0.0741442	-0.123591	-0.176423	-0.634547
KLLA0A00594g	-0.804635	-0.2224	-0.807695	-0.972201	-1.24505	-0.266336	-0.438781	-0.24078	-0.264884	-0.0355	-0.34647	-0.28737	0.165231	0.161416	0.157724	-0.327275	-0.529724	-0.619543	-0.26705	-0.0202742	0.162065	0.0771435	-0.825531	-0.516651	0.305679	0.125539	-0.000363374	-0.025851	-0.703163	-0.435983
KLLA0A00616g	0.563783	-0.116301	0.424649	-0.823109	-1.91985	0.410976	0.538283	-0.039475	-0.889457	-0.115649	0.412795	0.0512805	0.346576	0.0953368	0.255813	0.238692	0.202676	-0.861674	-0.0620397	0.0326359	0.136275	0.210884	-0.321145	-0.211435	-0.572076	-0.19536	-0.0512674	-0.408676	-0.67861	-0.429219
KLLA0A00638g	0.579251	-0.00143809	-0.274382	-0.17185	-0.0795953	-0.378059	-0.537338	-0.55321	-0.539802	-0.260114	-0.623218	-0.158188	0.054532	0.147787	-0.113392	-0.47607	-0.608665	-0.700536	-0.136169	-0.104884	0.100885	0.0518141	-0.798573	-0.161684	0.147491	0.00345548	-0.0743163	-0.281988	-1.2711	-0.398562
KLLA0A00660g	1.24795	1.20149	2.59895	2.95699	3.33258	0.615495	1.03189	1.59859	1.74296	1.98393	0.716623	0.428427	-0.425664	-1.0071	0.395179	0.396233	1.31445	1.23966	1.39062	1.41629	0.767684	0.669278	0.491382	1.59587	1.0519	0.613666	-0.191985	-0.281815	-0.0262741	1.20564
KLLA0A00682g	-0.421299	-0.158774	-0.54445	-0.864953	-1.48429	0.117554	0.0869057	-0.13827	-0.324797	-0.329026	-0.0362127	-0.185954	-0.166155	0.0936301	0.0308069	0.078445	-0.0117529	-0.312662	0.00885309	-0.0183983	0.0833785	-0.0401998	0.0855137	0.0578181	-0.289944	-0.117839	0.0208806	0.051655	0.1556	-0.417868
KLLA0A00715g	0.963064	-0.157458	-0.137584	-0.0399718	-0.280665	0.207811	0.161977	-0.193861	-0.237927	-0.336513	0.203225	0.438895	0.197762	0.307041	-0.134406	0.0459987	0.521717	0.116727	0.220469	-0.00836889	0.0983075	0.0434169	0.12466	0.464073	-0.395218	0.00341285	-0.0288595	-0.189229	-0.317048	0.343465
KLLA0A00737g	0.258942	-0.168815	-0.83748	-0.742495	-0.656284	-0.111846	-0.254164	-0.525297	-0.772341	-0.783297	-0.191522	0.103993	0.256879	0.137755	0.101393	0.436383	0.640019	0.623115	0.10512	0.0109925	0.00381891	-0.0578381	-0.0410469	0.0751128	0.276684	-0.105825	0.0880779	-0.00323291	-0.0412582	0.12869
KLLA0A00759g	1.0543	-0.258942	-0.317091	-0.176242	-0.283792	0.0341069	-0.229294	-0.106817	-0.0972753	0.00298792	-0.0503347	-0.40112	0.425259	0.208718	-0.0416742	0.135094	0.219059	0.0514287	-0.597473	-0.377226	-0.166311	-0.180487	-0.0211004	-0.6678	0.190806	0.00480496	0.0126352	0.188895	-0.00935801	-0.55017
KLLA0A00781g	-1.84283	0.155621	0.203873	0.268816	0.163814	-0.283018	-0.130276	0.248842	0.287407	0.510612	0.0818326	-0.141703	0.0205245	-0.165165	0.0852321	0.0691997	-0.102701	-0.242421	0.16249	0.216216	0.0688777	0.0388259	-0.0609196	-0.0021627	0.662253	0.0287997	0.136062	0.160188	0.174654	0.145
KLLA0A00803g	-0.15857	-0.582823	-1.12969	-0.987465	-0.977892	-0.599428	-0.864391	-0.858365	-0.676389	-0.610739	-0.28484	-0.222132	0.165761	0.330833	-0.255237	-0.304274	-0.402659	-0.377605	-0.779996	-0.716182	-0.351759	-0.343958	0.081735	-0.510101	-0.288212	-0.174032	-0.0665767	0.113245	-0.113541	-0.333134
KLLA0A00825g	0.536477	-0.305898	-0.609591	-0.761193	-0.590399	-0.859196	-1.15193	-1.11915	-1.07179	-0.736976	-0.19171	-0.0606971	0.411222	0.669134	-0.125778	-0.634512	-0.858787	-0.103859	-0.625543	-0.547702	0.00356856	-0.0422875	-0.214377	-0.516164	-0.49389	0.0685317	0.132305	0.0296356	-0.346514	-0.410279
KLLA0A00847g	0.365574	-0.276542	-0.76828	-1.36106	-1.4365	-0.0426196	-0.659704	-0.20962	0.101266	0.212804	0.105554	0.0639755	0.503826	0.15603	-0.0965939	-0.370439	-0.8382	-0.436892	-0.231957	0.0266156	-0.0794262	-0.0732667	-0.142768	-0.263046	0.464635	-0.370681	0.0272387	0.1631	-0.0329886	-0.505389
KLLA0A00869g	0.306556	-0.165776	-0.633028	-1.22618	-1.60011	0.0780975	0.174327	0.0352712	-0.0375562	-0.218866	-0.443672	-0.221244	-0.0812587	-0.00261779	-0.179534	-0.299043	-0.497778	-0.52301	-0.117833	-0.102645	0.086887	-0.0253107	-0.185344	0.0875943	0.634786	0.0105182	-0.134338	-0.279038	-0.31086	-0.052853
KLLA0A00891g	1.0318	-0.100227	0.203138	0.581736	1.00645	-0.0164056	-0.157434	-0.367138	-0.462997	-0.288797	-0.0756088	0.177018	-0.161029	0.0105358	-0.383364	-0.492788	-0.360607	-0.210277	0.264069	-0.131753	-0.00318231	0.0333382	-0.0934183	0.394874	-0.289437	0.0852611	-0.134694	-0.2865	-0.610776	0.170485
KLLA0A00913g	0.400329	-0.241813	0.344704	0.795194	0.677193	0.0337943	0.00658901	-0.229557	-0.221576	-0.27705	0.172168	0.486101	0.0894558	-0.00858648	-0.630626	-0.863702	-0.451308	-0.377892	0.250481	-0.1856	0.0375754	-0.130314	0.429978	0.523348	0.26489	0.301516	0.10699	-0.0159239	-0.118241	0.449127
KLLA0A00935g	0.924502	-0.546696	-1.10792	-1.23461	-1.16427	-0.957051	-0.948016	-0.85053	-0.667339	-1.17031	-0.983043	-0.703214	0.450673	0.491206	-0.00105936	-0.123823	-0.978818	-0.458283	-1.85956	-0.680361	-0.281997	-0.397813	-1.23346	-2.0364	-0.142132	-0.202294	-0.00521874	-0.183899	-0.86558	-0.779854
KLLA0A00957g	1.42207	-0.466549	-1.04889	-0.934184	-0.825195	0.105196	-0.124479	-0.408094	-0.483866	-0.667274	-0.100234	-0.381168	0.0761929	0.836549	0.209845	0.371603	0.403803	0.19527	-0.181437	-0.295151	0.291591	-0.0185472	-0.0597233	-0.329658	-0.287216	0.263217	0.101487	0.145659	0.348667	-0.678312
KLLA0A00979g	-2.23146	0.0789421	0.645295	0.857291	0.652796	-0.336142	-0.368956	-0.0183134	0.0568925	0.0711327	-0.148959	-0.177061	-0.217948	-0.164572	-0.179024	-0.6387	-0.936928	-1.15226	0.0789906	-0.0883726	-0.430088	-0.245214	-0.220525	-0.21162	0.555149	-0.200288	-0.0135599	0.0256427	-0.499108	-0.0646363
KLLA0A01001g	-4.54815	-0.587984	-0.65952	-0.948572	-1.20616	0.0451181	0.148921	0.404701	0.499109	0.902223	-0.0161829	-0.0127994	-0.16065	-0.219536	-0.0138719	-0.153169	-0.428235	-0.687489	0.122327	0.0489772	-0.143424	0.0424038	0.177602	0.136482	-0.572256	-0.177692	0.0372894	0.010668	0.0713443	-0.312888
KLLA0A01023g	0.060344	-0.0223224	-0.372359	-0.506632	-0.399257	0.214466	0.119469	-0.0677455	-0.263083	0.0715944	0.0127109	0.284553	-0.0174904	0.0890228	-0.335563	-0.561918	-0.0762964	0.0222818	0.297748	0.00787862	0.054055	-0.048223	-0.0121964	0.498723	0.0620921	-0.0559257	0.072874	-0.0292773	-0.0960903	0.498238
KLLA0A01045g	0.480438	-0.0194001	-0.491148	-0.749718	-1.00402	-0.586385	-0.514563	-0.691562	-0.715833	-0.414726	-0.100552	-0.344869	-0.0921286	-0.0182299	-0.116442	0.127486	-0.245986	-0.705387	-0.242118	-0.186832	0.0886738	-0.0299142	-0.0594344	-0.289408	-0.134585	0.06981	0.0466481	0.0834801	0.334367	-0.38945
KLLA0A01067g	0.181745	0.333957	1.00607	0.965761	1.16128	0.283677	0.376729	0.468483	0.368183	0.235135	0.255522	0.273863	0.23573	0.10049	0.14627	0.161082	0.22496	0.358772	0.540985	0.582505	0.375351	0.160375	0.123346	0.651839	0.853166	0.306206	0.123221	0.00977895	-0.00458137	0.0757221
KLLA0A01089g	1.6277	0.370046	0.645347	0.62996	1.04343	-0.554599	-0.0569827	0.137091	0.179193	0.211005	-0.509457	0.64541	-0.00143854	0.0988126	-0.503651	-1.18671	-0.459611	0.0272782	0.639748	0.267872	0.0912628	0.241824	-0.0764635	1.11681	0.274955	0.0127899	-0.128998	-0.234378	-0.437786	0.567527
KLLA0A01111g	-0.358591	0.0852985	-0.0999432	-0.218293	-0.357644	0.318221	0.442435	0.338251	0.21563	0.0511082	-0.242443	-0.201245	-0.195815	-0.141239	-0.0246826	-0.315561	-0.520499	-0.5397	-0.105306	0.0310977	0.32198	0.107433	-0.293209	-0.089133	0.246371	0.163763	0.0639088	-0.169613	-0.533672	-0.391804
KLLA0A01133g	-0.953784	-0.15344	-0.700607	-1.08676	-1.24021	-0.284332	-0.369867	-0.30766	-0.330055	-0.330657	-0.368456	-0.510972	-0.0793802	-0.0375504	-0.156393	-0.562095	-1.01599	-0.719999	-0.328554	-0.00904266	0.138051	-0.0641574	-0.492457	-0.47228	0.0323347	-0.0731393	0.159525	0.0291701	-0.229419	-0.317662
KLLA0A01155g	-0.400346	0.214192	0.199304	0.201467	0.315543	0.369641	0.259931	0.0806721	0.0466774	-0.126194	-0.262071	-0.205732	-0.214995	-0.386478	-0.05215	-0.1487	0.230556	0.322942	0.0960908	0.147231	-0.196967	-0.00307271	-0.314888	-0.171053	0.0349056	0.0677515	-0.0274845	-0.12808	-0.540755	-0.431077
KLLA0A01177g	-0.0322403	0.228924	0.29118	-0.167074	-0.794464	0.478482	0.789606	0.484493	0.404653	0.338592	-0.173266	-0.927792	-1.4707	-0.829757	-0.266884	-0.353238	0.398208	0.321306	-0.305278	-0.524584	-0.464989	-0.381083	-0.374217	-0.802958	-1.64621	-0.716124	-0.00523212	-0.0134397	-0.156661	-1.48536
KLLA0A01199g	0.151649	-0.510666	-1.74629	-3.04541	-4.41218	-0.293804	-1.49725	-1.94212	-1.8665	-1.11422	-0.402677	-0.732331	-0.455162	0.127898	-0.175515	-0.576163	-1.51529	-1.93726	-0.0980598	-0.232331	0.137296	0.533442	-0.171013	-0.543623	-0.426474	0.522898	-0.0126836	0.399543	0.290074	-0.228034
KLLA0A01221g	-1.63686	1.13226	1.99121	2.30946	2.26201	-0.105799	0.379076	0.704686	0.734857	0.791783	0.441361	0.51579	-0.59495	-0.814615	0.060186	-0.0030223	0.416712	0.780733	1.06987	0.720029	0.0737426	0.130436	0.133394	1.27148	0.128091	0.990592	0.00981855	-0.036161	-0.00946704	1.31495
KLLA0A01265g	-1.0252	-0.69631	-0.554588	-0.456214	-0.0448606	-0.943596	-0.711966	-0.375851	-0.300574	-0.532541	-0.234056	0.274203	0.224027	0.164279	-0.0398754	-0.394595	0.00186785	0.488944	-0.357126	-0.275447	-0.263286	-0.592041	-0.810739	-0.483692	-0.0569433	-0.539073	0.114063	0.0937778	-0.689602	-0.197503
KLLA0A01287g	-1.20546	-0.0617177	-0.134749	-0.355756	-0.759092	0.0775406	-0.327926	-0.25495	-0.266347	-0.319166	-0.0367864	-0.529885	-0.162847	-0.164969	0.265519	0.349186	0.23678	-0.357934	-0.0509476	0.0153707	0.21828	-0.0222765	-0.304871	-0.319016	-0.46265	-0.0826992	-0.0462023	-0.190659	0.050884	-0.511096
KLLA0A01298g	0.182648	1.47453	-0.395094	-0.494819	-0.259375	-2.21378	-2.41996	-1.30691	-0.993504	-0.230414	0.0328932	-1.05538	0.117514	0.667189	0.0788057	-1.01794	0.291111	-0.223807	-0.576163	-2.20492	0.524648	0.145163	-0.191441	-0.704821	-0.312125	0.193297	0.0216077	-0.0284774	0.201348	0.216196
KLLA0A01320g	-1.40514	0.26574	0.954457	1.06858	1.17136	0.254043	0.382511	0.877575	0.909899	1.09451	-0.600847	0.243918	-0.433423	-0.77344	-0.0893637	-0.272353	0.176944	0.234724	0.886661	0.297819	0.174281	0.374696	-0.501333	0.896492	0.13977	-0.120805	-0.101216	-0.216312	-0.69951	0.831602
KLLA0A01342g	1.28629	-0.0733552	-0.328286	-0.36982	-0.154671	0.449573	0.426123	0.0585888	-0.0763967	-0.241253	-0.623395	-0.0218803	-0.169338	-0.053495	0.193069	0.24881	0.316884	-0.521945	0.131618	0.145514	0.160294	0.198821	-0.479482	0.126277	-0.323977	0.107152	-0.23698	-0.490884	-0.907775	-0.0057966
