Name	Klac_LAG	Klac_LL	Klac_DS	Klac_PS	Klac_PLAT	Klac_HS5	Klac_HS15	Klac_HS30	Klac_HS45	Klac_HS60	Klac_Salt-5	Klac_Salt-15	Klac_Salt-30	Klac_Salt-60	Klac_Ox5	Klac_Ox15	Klac_Ox30	Klac_Ox60	Klac_0.2MKCl-10	Klac_0.2MKCl-20	Klac_0.2MKCl-40	Klac_0.2MKCl-80	Klac_0.4MKCl-10	Klac_0.4MKCl-20	Klac_0.4MKCl-40	Klac_0.4MKCl-80	Klac_0.8MKCl-10	Klac_0.8MKCl-20	Klac_0.8MKCl-40	Klac_0.8MKCl-80
KLLA0A01364g	-0.263928	-0.36474	-1.26381	-1.90825	-2.27948	-0.257517	-1.45919	-1.40275	-1.27461	-1.27664	-0.0661405	-0.117283	-0.0143376	0.235358	-0.0239159	-0.142511	-0.198211	-0.980298	-0.0233591	-0.122166	0.0862881	0.130671	0.244968	-0.152942	2.96325	-0.0300992	-0.111152	0.122429	-0.0989784	-0.928814
KLLA0A01386g	0.893306	0.0231939	0.232381	0.725453	0.915395	0.00827879	0.0825011	0.119758	0.0762495	0.0766083	-0.470509	0.477021	0.378123	0.213532	-0.231983	-0.311085	0.042961	-0.00629272	0.522551	0.466899	0.232818	0.0964634	0.0482995	0.993547	0.76345	0.214895	0.05528	-0.00179359	-0.186213	1.15562
KLLA0A01408g	0.0515584	1.28885	3.12233	3.11332	2.71689	0.226355	0.474951	1.11419	1.15395	1.35304	1.30516	1.2452	-0.329771	-1.04831	-0.0916644	0.123344	1.10589	1.20987	1.81369	1.78685	0.492558	0.558738	1.21523	2.73891	1.32346	0.366963	0.221234	0.257446	1.13533	3.0657
KLLA0A01430g	-0.914611	-0.198905	0.0201442	0.0808092	0.275144	-0.373511	-0.0433052	0.148528	0.153302	0.189732	0.374612	0.464573	0.276576	-0.00620109	0.115301	0.25136	-0.0737834	-0.974062	0.469894	0.170373	0.197851	-0.00887019	0.391555	0.495007	0.257916	0.0296759	0.0399969	-0.112124	0.46314	0.143362
KLLA0A01452g	0.588264	-0.490969	-2.22483	-3.04321	-3.649	-0.362297	-1.32996	-1.30605	-1.04408	-0.981501	-0.35117	-0.0327207	0.470823	0.820531	0.183575	0.110882	-0.403	-1.25954	-0.054992	-0.0764065	0.361451	0.232767	-0.0374395	0.0167073	0.571142	0.3586	0.103118	-0.00749389	0.0376431	0.135797
KLLA0A01474g	-0.24005	0.0941409	0.57678	0.506902	0.811345	0.858033	0.780632	0.613965	0.699942	0.614809	0.251058	0.6761	-0.0149209	-0.244074	0.236542	0.8201	1.34845	0.965099	0.330227	-0.00360232	-0.353923	-0.3081	0.585957	0.956644	0.0118555	-0.200153	-0.0285763	-0.0261748	0.641893	1.45152
KLLA0A01496g	0.716378	-0.317947	-0.00578818	-0.0163453	0.255805	0.239696	0.169198	0.216183	0.199101	0.370772	0.580227	1.08499	0.903199	0.42226	0.316655	1.13348	1.74921	1.09461	0.483358	0.564585	0.324923	0.0801767	0.206248	0.984478	0.504845	0.296985	0.0749401	-0.0409612	0.293295	1.0543
KLLA0A01518g	-0.210644	-0.17457	0.0764046	-0.227684	-0.391364	0.0571883	0.192719	0.276495	0.270716	0.2158	0.362114	0.477058	0.267883	0.0219381	0.166636	-0.0625212	0.114062	0.112177	0.219956	0.0761887	-0.0587254	-0.0396514	0.187869	0.66147	0.223227	0.0100391	0.111358	0.032506	0.331422	0.744259
KLLA0A01551g	0.207901	-0.592688	-0.998343	-1.35552	-1.64105	-0.591626	-0.972895	-0.930956	-0.905161	-0.954987	-0.375439	-0.140879	0.277589	0.416919	-0.0671865	-0.268225	-0.617365	-0.104516	-0.386171	-0.394749	-0.176824	-0.112185	-0.320029	-0.422168	-0.131358	-0.0061185	0.0732953	0.0157232	-0.542906	-0.224707
KLLA0A01573g	0.739204	0.489498	1.21801	1.3471	1.63038	0.799922	0.242156	0.280046	0.264469	0.270995	-0.0444933	-0.797789	-1.37887	-0.712902	-0.576988	-1.03525	-0.880126	-0.221043	0.0115557	-0.555481	-0.185172	-0.113931	-0.0833935	-0.14513	0.0180564	0.145541	-0.0646923	-0.126386	-0.190363	0.0116685
KLLA0A01606g	0.396273	0.0542067	-0.141866	-0.713034	-1.06396	-0.372412	-1.12345	-0.532561	-0.0516224	0.0282499	-0.107062	-0.230385	0.197508	0.16507	-0.130423	-1.03295	-1.23383	-0.441606	-0.256769	-0.0227488	0.467787	0.0091962	-0.0500212	-0.18142	0.713531	-0.0301206	0.107951	-0.074808	-0.203615	0.380451
